Index	Name	Author	FileName	Tags	Dependencies	URL
0	Mod Configuration Menu	Volitio	BG3MCM_755a8a72-407f-4f0d-9a33-274ac0f0b53d.pak	API, Configuration, UI		
1	ImpUI (ImprovedUI)	bibsan (prev. Djmr / AlanaSP / ShinyHobo / Zee)	ImpUI_26922ba9-6018-5252-075d-7ff2ba6ed879.pak		MainUI, CrossplayUI, PhotoMode	
2	CommunityLibrary	BG3 Community	CommunityLibrary_396c5966-09b0-40a1-af3f-93a5e9ce71c0.pak	API, CMTY, Core, Library		
3	VFX_Library_VladsGrimoire	VladmirFFXI	VladsGrimoire_0dd5b581-c210-4956-ab96-7682fb519de5.pak	Core, Icons, Library, Modder's Resource, Textures, VFX		
4	5eSpells	Celes/DiZ	5eSpells_fb5f528d-4d48-4bf2-a668-2274d3cfba96.pak		GustavDev, Mod Configuration Menu	
5	Expansion	Celes/DiZ	Expansion_a2c4b0fc-e745-41df-81b7-fa53950d86a0.pak		GustavDev, Mod Configuration Menu	
6	UnlockLevelCurve	Charis	UnlockLevelCurve_d903677e-f24b-48ec-ab20-98dcc116a371.pak			
7	UnlockLevelCurve_Patch_5eSpells	Charis	UnlockLevelCurve_Patch_5eSpells_cf0b4eed-8b58-4981-8ab8-bf210d4db97b.pak			
8	TutorialChestSummoning	wesslen	TutorialChestSummoning_505c630c-79fa-49b6-9f21-29a5f2322c2d.pak			
9	BagsBagsBagsReforged	Dor	BagsBagsBagsReforged_38733c1e-1e21-4db8-abdd-7e7599ec05fb.pak			
10	Better Containers 5x5	Caites	BetterContainersfivefive_278fd072-0482-64f9-9d52-d37121db6e7b.pak			
11	Mark Book As Read	FallenStar	Fallen_Mark_As_Read_c72d9f6a-a6e4-48b1-98c0-0ecdc7c31cf7.pak		BG3MCM	
12	BasketEquipmentSFW	AnteMaxx	BasketEquipmentSFW_b200f917-43ec-45d9-9dff-ac6191d62388.pak			
13	✧ Minstrel's Fabled Duo Set ✧	Moon Blossom [TsukiTuzi]	MB0MIN_5cd55777-a62a-4030-946e-e4ea1dc6ac49.pak			
14	VolitionCabinet	Volitio	VolitionCabinet_f97b43be-7398-4ea5-8fe2-be7eb3d4b5ca.pak	API, Core, Library		
15	Soaring Ambition - Ascended Fiend Wings	Nikjima	AscendedWings_3e318204-5535-bb0a-2157-494b71fba26f.pak		DiceSet_01, DiceSet_02, DiceSet_03, DiceSet_06, MainUI, ModBrowser, PhotoMode, CrossplayUI, Gustav, GustavDev, GustavX	
16	ASTRL Tiefling Subraces	Astralities	ASTRLtieflings_167b846f-0a0b-4e0c-a9d0-df448be1320a.pak		Soaring Ambition - Ascended Fiend Wings	
17	Additional Backgrounds	CrimsonEdge7	AdditionalBackgrounds_7ea9ff7a-844a-8892-32de-675bfa75bea8.pak		SharedDev, GustavDev, ImpUI (ImprovedUI)	
18	College of Spirits	Havsglimt	CollegeofSpirits_beb361b4-cb75-4e75-8e54-c38fafeccc32.pak			
19	Customizer	Alana	Customizer_83b4e98f-28b3-4e75-915d-4cf795ec2b74.pak			
20	Toarie's New Character Creation Presets WIP	Toarie	KT_New_Heads_405c762d-8f07-4b91-a1ef-d58a9ec2a0a0.pak			
21	Strong Female Heads 	Dufresne	Strong_Heads_cef3bd38-43eb-4e9e-b3ba-8a96ddcb0e38.pak			
22	Ellian's Heads	hijimare	Hiji_Heads_dee6dde4-f9f5-456b-b7e3-5ac2eb87f87d.pak			
23	PseudoKociaras' Heads EotB	PseudoKociara	PseudoKociaras'_Heads_41624948-bc1f-44ff-a932-4ce1cc0fc309.pak			
24	ASTRL Tiefling Subraces (Bonus Action Patch)	Astralities	ASTRLtieflings_BonusActionPatch_2d391618-52f5-4f9c-b6dd-6f045952843e.pak		ASTRL Tiefling Subraces	
25	Heads (not only) For Tieflings	Torofu	heads333_ef01b0e3-a4e1-1672-84b3-bc63168888af.pak			
26	♡ Mantis' Fantasy Presets	♡ Mantis	MantisFANTASY_fe23f110-715c-4b67-a349-11257eae80f8.pak			
27	♡ Mantis' HOTD Presets	♡ Mantis	MantisHOTD_a18b24d3-3986-4481-94a1-572bd41475af.pak			
28	♡ Mantis' Preset Collection [VOL. I]	♡ Mantis	MantisVOLI_92f9a38d-2429-4d03-8e36-e98534e854b9.pak			
