Index	Name	Author	FileName	Tags	Dependencies	URL
0	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  01 ⋆ UI ⋆ ImprovedUI & ImpUI  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_UI_IUI_dac79ea1-b9ff-4c4a-9f92-7650b0c563fa.pak			
1	ImpUI (ImprovedUI)	bibsan (prev. Djmr / AlanaSP / ShinyHobo / Zee)	impui_26922ba9-6018-5252-075d-eqgb.pak		MainUI, CrossplayUI, PhotoMode	https://www.nexusmods.com/baldursgate3/mods/16649
2	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  02 ⋆ UI ⋆ Caites' UI Mods  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_UI_Caites_dde37363-1956-4a13-ab3b-3d787c060039.pak			
3	BCPP 16x9 4 5x10	Caites	BCPPfourfiveten_f43d53cb-aef6-6476-15dc-d71d25c2f1cc.pak		ImpUI (ImprovedUI)	https://www.nexusmods.com/baldursgate3/mods/1580
4	Better Combat Log 2 AutoHide On	Caites	BetterCombatLogAHOn_6d435ac7-61f9-77ed-8da4-68917b853852.pak		ImpUI (ImprovedUI)	https://www.nexusmods.com/baldursgate3/mods/2212
5	Better Containers	Caites	bettercontainers_cb42bc3a-f1d2-afwl.pak			
6	Better Context Menu	Caites	bettercontextmenu_f9dd909a-360-9soj.pak			
7	Better Dyeing	Caites	betterdyeing_03b0b84a-2689-77c-3ymd.pak			
8	Better Hotbar 2	Caites	betterhotbar2_a43f8334-d0cd-b6-64ke.pak		ImpUI (ImprovedUI)	
9	Better Map	Caites	BetterMap_02ffe10e-ac53-8877-a3d5-3098fdbb8f5b.pak		ImpUI (ImprovedUI)	https://www.nexusmods.com/baldursgate3/mods/2256
Override	BetterMapAssets	Caites	BetterMapAssets_304dea97-faed-44d4-a39c-66d2824b5b35.pak			https://www.nexusmods.com/baldursgate3/mods/2256
11	Clear Map No Grid Only	Caites	ClearMapNoGrid_92613a09-b6f4-20cc-32fa-d2449777b5ea.pak			https://www.nexusmods.com/baldursgate3/mods/2256
12	Better Split Item	Caites	BetterSplitItem_76e493c7-d7f4-217f-2a3e-61e17c61dedf.pak		GustavDev	https://www.nexusmods.com/baldursgate3/mods/1722
13	Better Target Info	Caites	bettertargetinfo_1186f940-7338-cp8j.pak		ImpUI (ImprovedUI)	
14	BetterTooltips	Caites and juumeijin	bettertooltips_bc1081b4-e2a9-c-esik.pak			
15	Better Topbar	Caites	bettertopbar_d9582df8-6eef-a75-4cx6.pak		ImpUI (ImprovedUI)	
16	Better Various Widgets	Caites	BetterVariousWidgets_2f8f216d-dd2a-7731-cf1e-9d6bae9eb04a.pak			https://www.nexusmods.com/baldursgate3/mods/5291
17	Damage Preview	Caites & Noxis	DamagePreview_0e6b886d-c51f-75fb-f9bd-cf9c0c363c5b.pak		ImpUI (ImprovedUI)	https://www.nexusmods.com/baldursgate3/mods/4137
